method,metric,transform_name,intensity_value,n_images,mean,median,sd,ci_level,ci_method,ci_low,ci_high,bootstrap_seed,bootstrap_repetitions
dct,decode_present,crop_center,0.1,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.2,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.3,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.4,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.5,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.6,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.7,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_center,0.8,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_random,0.1,1200,0.000833,0.000000,0.028868,0.95,wilson_binomial,0.000147,0.004705,,
dct,decode_present,crop_random,0.2,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_random,0.3,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_random,0.4,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_random,0.5,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_random,0.6,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_random,0.7,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,crop_random,0.8,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,gaussian_blur,0.5,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,gaussian_blur,1.0,1200,0.340000,0.000000,0.473906,0.95,wilson_binomial,0.313746,0.367275,,
dct,decode_present,gaussian_blur,1.5,1200,0.325000,0.000000,0.468570,0.95,wilson_binomial,0.299095,0.352022,,
dct,decode_present,gaussian_blur,2.0,1200,0.275000,0.000000,0.446700,0.95,wilson_binomial,0.250485,0.300951,,
dct,decode_present,gaussian_blur,3.0,1200,0.170000,0.000000,0.375789,0.95,wilson_binomial,0.149808,0.192298,,
dct,decode_present,gaussian_blur,5.0,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,jpeg_compression,10,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,jpeg_compression,20,1200,0.309167,0.000000,0.462343,0.95,wilson_binomial,0.283662,0.335889,,
dct,decode_present,jpeg_compression,35,1200,0.324167,0.000000,0.468258,0.95,wilson_binomial,0.298281,0.351174,,
dct,decode_present,jpeg_compression,5,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,jpeg_compression,50,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,jpeg_compression,65,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,jpeg_compression,80,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,jpeg_compression,95,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,letterbox,black,1200,0.016667,0.000000,0.128072,0.95,wilson_binomial,0.010815,0.025603,,
dct,decode_present,letterbox,grey,1200,0.016667,0.000000,0.128072,0.95,wilson_binomial,0.010815,0.025603,,
dct,decode_present,none,,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,rotation,1,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,rotation,10,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,rotation,2,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,rotation,20,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,rotation,45,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,rotation,5,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,rotation,70,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,rotation,90,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,salt_pepper_noise,0.01,1200,0.045000,0.000000,0.207391,0.95,wilson_binomial,0.034652,0.058252,,
dct,decode_present,salt_pepper_noise,0.02,1200,0.005000,0.000000,0.070563,0.95,wilson_binomial,0.002293,0.010866,,
dct,decode_present,salt_pepper_noise,0.04,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,salt_pepper_noise,0.06,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,salt_pepper_noise,0.1,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,salt_pepper_noise,0.15,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,saturation,0.2,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,saturation,0.43,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,saturation,0.66,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,saturation,0.89,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,saturation,1.11,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,saturation,1.34,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,saturation,1.57,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,saturation,1.8,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,scaling,0.25,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,scaling,0.5,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,scaling,0.75,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,scaling,1.5,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,scaling,2.0,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,scaling,3.0,1200,0.000000,0.000000,0.000000,0.95,wilson_binomial,0.000000,0.003191,,
dct,decode_present,vibrancy,0.2,1200,0.340833,0.000000,0.474187,0.95,wilson_binomial,0.314561,0.368121,,
dct,decode_present,vibrancy,0.43,1200,0.341667,0.000000,0.474466,0.95,wilson_binomial,0.315376,0.368968,,
dct,decode_present,vibrancy,0.66,1200,0.341667,0.000000,0.474466,0.95,wilson_binomial,0.315376,0.368968,,
dct,decode_present,vibrancy,0.89,1200,0.343333,0.000000,0.475020,0.95,wilson_binomial,0.317006,0.370660,,
dct,decode_present,vibrancy,1.11,1200,0.340833,0.000000,0.474187,0.95,wilson_binomial,0.314561,0.368121,,
dct,decode_present,vibrancy,1.34,1200,0.300833,0.000000,0.458812,0.95,wilson_binomial,0.275554,0.327384,,
dct,decode_present,vibrancy,1.57,1200,0.251667,0.000000,0.434152,0.95,wilson_binomial,0.227932,0.276986,,
dct,decode_present,vibrancy,1.8,1200,0.217500,0.000000,0.412717,0.95,wilson_binomial,0.195080,0.241723,,
hash,mean_bit_error_fraction,brightness,0.5,1200,0.009736,0.008789,0.005287,0.95,percentile_bootstrap_mean,0.009451,0.010034,20260812,2000
hash,mean_bit_error_fraction,brightness,0.7,1200,0.006840,0.005859,0.004498,0.95,percentile_bootstrap_mean,0.006571,0.007102,20260812,2000
hash,mean_bit_error_fraction,brightness,0.85,1200,0.004975,0.003906,0.004167,0.95,percentile_bootstrap_mean,0.004741,0.005221,20260812,2000
hash,mean_bit_error_fraction,brightness,1.15,1200,0.013708,0.011719,0.009840,0.95,percentile_bootstrap_mean,0.013145,0.014273,20260812,2000
hash,mean_bit_error_fraction,brightness,1.5,1200,0.046148,0.044922,0.019359,0.95,percentile_bootstrap_mean,0.045083,0.047258,20260812,2000
hash,mean_bit_error_fraction,brightness,2.0,1200,0.081349,0.080078,0.023739,0.95,percentile_bootstrap_mean,0.080020,0.082671,20260812,2000
hash,mean_bit_error_fraction,contrast,0.5,1200,0.011670,0.011719,0.005200,0.95,percentile_bootstrap_mean,0.011381,0.011962,20260812,2000
hash,mean_bit_error_fraction,contrast,0.7,1200,0.009731,0.009766,0.004731,0.95,percentile_bootstrap_mean,0.009460,0.010011,20260812,2000
hash,mean_bit_error_fraction,contrast,0.85,1200,0.008098,0.007812,0.004373,0.95,percentile_bootstrap_mean,0.007852,0.008355,20260812,2000
hash,mean_bit_error_fraction,contrast,1.15,1200,0.012520,0.011719,0.005772,0.95,percentile_bootstrap_mean,0.012203,0.012845,20260812,2000
hash,mean_bit_error_fraction,contrast,1.5,1200,0.030835,0.030273,0.010248,0.95,percentile_bootstrap_mean,0.030271,0.031403,20260812,2000
hash,mean_bit_error_fraction,contrast,2.0,1200,0.048259,0.047852,0.012635,0.95,percentile_bootstrap_mean,0.047541,0.048962,20260812,2000
hash,mean_bit_error_fraction,crop_center,0.1,1200,0.125158,0.125977,0.020981,0.95,percentile_bootstrap_mean,0.123970,0.126336,20260812,2000
hash,mean_bit_error_fraction,crop_center,0.2,1200,0.183569,0.184570,0.023278,0.95,percentile_bootstrap_mean,0.182255,0.184893,20260812,2000
hash,mean_bit_error_fraction,crop_center,0.3,1200,0.207290,0.209961,0.020928,0.95,percentile_bootstrap_mean,0.206086,0.208447,20260812,2000
hash,mean_bit_error_fraction,crop_center,0.4,1200,0.218896,0.221680,0.019345,0.95,percentile_bootstrap_mean,0.217747,0.220017,20260812,2000
hash,mean_bit_error_fraction,crop_center,0.5,1200,0.224972,0.227539,0.017659,0.95,percentile_bootstrap_mean,0.223949,0.225945,20260812,2000
hash,mean_bit_error_fraction,crop_center,0.6,1200,0.228774,0.231445,0.015830,0.95,percentile_bootstrap_mean,0.227847,0.229679,20260812,2000
hash,mean_bit_error_fraction,crop_center,0.7,1200,0.231954,0.234375,0.014898,0.95,percentile_bootstrap_mean,0.231129,0.232779,20260812,2000
hash,mean_bit_error_fraction,crop_center,0.8,1200,0.233943,0.236328,0.014333,0.95,percentile_bootstrap_mean,0.233144,0.234701,20260812,2000
hash,mean_bit_error_fraction,crop_random,0.1,1200,0.148944,0.149414,0.024447,0.95,percentile_bootstrap_mean,0.147587,0.150356,20260812,2000
hash,mean_bit_error_fraction,crop_random,0.2,1200,0.195589,0.198242,0.021032,0.95,percentile_bootstrap_mean,0.194384,0.196761,20260812,2000
hash,mean_bit_error_fraction,crop_random,0.3,1200,0.213681,0.215820,0.018790,0.95,percentile_bootstrap_mean,0.212554,0.214718,20260812,2000
hash,mean_bit_error_fraction,crop_random,0.4,1200,0.221421,0.223633,0.016991,0.95,percentile_bootstrap_mean,0.220450,0.222362,20260812,2000
hash,mean_bit_error_fraction,crop_random,0.5,1200,0.226303,0.228516,0.015741,0.95,percentile_bootstrap_mean,0.225371,0.227183,20260812,2000
hash,mean_bit_error_fraction,crop_random,0.6,1200,0.229764,0.232422,0.016042,0.95,percentile_bootstrap_mean,0.228836,0.230590,20260812,2000
hash,mean_bit_error_fraction,crop_random,0.7,1200,0.231417,0.233398,0.014840,0.95,percentile_bootstrap_mean,0.230553,0.232262,20260812,2000
hash,mean_bit_error_fraction,crop_random,0.8,1200,0.234278,0.237305,0.014558,0.95,percentile_bootstrap_mean,0.233451,0.235092,20260812,2000
hash,mean_bit_error_fraction,gaussian_blur,0.5,1200,0.001915,0.000977,0.002201,0.95,percentile_bootstrap_mean,0.001790,0.002039,20260812,2000
hash,mean_bit_error_fraction,gaussian_blur,1.0,1200,0.006223,0.005371,0.004250,0.95,percentile_bootstrap_mean,0.005986,0.006453,20260812,2000
hash,mean_bit_error_fraction,gaussian_blur,1.5,1200,0.005418,0.004883,0.003512,0.95,percentile_bootstrap_mean,0.005220,0.005614,20260812,2000
hash,mean_bit_error_fraction,gaussian_blur,2.0,1200,0.006658,0.005859,0.003801,0.95,percentile_bootstrap_mean,0.006445,0.006865,20260812,2000
hash,mean_bit_error_fraction,gaussian_blur,3.0,1200,0.009175,0.008789,0.004391,0.95,percentile_bootstrap_mean,0.008935,0.009421,20260812,2000
hash,mean_bit_error_fraction,gaussian_blur,5.0,1200,0.013432,0.012695,0.005524,0.95,percentile_bootstrap_mean,0.013123,0.013751,20260812,2000
hash,mean_bit_error_fraction,jpeg_compression,10,1200,0.013204,0.011719,0.009552,0.95,percentile_bootstrap_mean,0.012681,0.013743,20260812,2000
hash,mean_bit_error_fraction,jpeg_compression,20,1200,0.007389,0.005859,0.006305,0.95,percentile_bootstrap_mean,0.007046,0.007729,20260812,2000
hash,mean_bit_error_fraction,jpeg_compression,35,1200,0.005138,0.003906,0.004605,0.95,percentile_bootstrap_mean,0.004884,0.005413,20260812,2000
hash,mean_bit_error_fraction,jpeg_compression,5,1200,0.026281,0.023438,0.014852,0.95,percentile_bootstrap_mean,0.025487,0.027150,20260812,2000
hash,mean_bit_error_fraction,jpeg_compression,50,1200,0.004172,0.003906,0.003606,0.95,percentile_bootstrap_mean,0.003963,0.004369,20260812,2000
hash,mean_bit_error_fraction,jpeg_compression,65,1200,0.003610,0.002930,0.003355,0.95,percentile_bootstrap_mean,0.003433,0.003795,20260812,2000
